s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
Time,TC_001,TC_002,TC_003,TC_004,TC_005,TC_006,TC_007,TC_008,TC_009,TC_010,TC_011,TC_012,TC_013,TC_014,TC_015,TC_016,TC_017,TC_018,TC_019,TC_020,TC_021,TC_022,TC_023,TC_024,TC_025,TC_026,TC_027,TC_028,TC_029,TC_030,TC_031,TC_032,TC_033,TC_034,TC_035,TC_036,TC_037,TC_038,TC_039,TC_040,TC_041,TC_042,TC_043,TC_044,TC_045,TC_046,TC_047,TC_048,TC_049,TC_054,TC_055,TC_056,TC_057,TC_058,TC_059,TC_060,TC_061,TC_062,TC_063,TC_064,TC_065,TC_066,TC_067,TC_068,TC_069,TC_070,TC_071,TC_075,TC_076,TC_077,TC_078,TC_079,TC_080,TC_081,TC_082,TC_083,TC_084,TC_085,TC_086,TC_087,TC_088,TC_089,TC_090,TC_091,TC_092,TC_093,TC_094,TC_095,TC_096,TC_097,TC_098,TC_099,TC_100,TC_101,TC_102,TC_103,TC_104,O2_FLOOR,CO2_FLOOR,CO_FLOOR,O2_VENT,CO2_VENT,CO_VENT,Acts
 2.400E+002, 4.781E+001, 3.702E+001, 2.218E+001, 2.038E+001, 2.024E+001, 2.022E+001, 2.023E+001, 2.031E+001, 2.056E+001, 2.115E+001, 4.178E+001, 4.928E+001, 3.878E+001, 2.227E+001, 1.972E+001, 1.953E+001, 1.944E+001, 1.945E+001, 1.933E+001, 1.934E+001, 2.108E+001, 4.012E+001, 4.320E+001, 3.043E+001, 2.120E+001, 1.972E+001, 1.968E+001, 1.923E+001, 1.908E+001, 1.908E+001, 1.913E+001, 4.506E+001, 1.758E+002, 1.704E+002, 1.585E+002, 1.501E+002, 1.563E+002, 1.685E+002, 1.862E+002, 1.973E+002, 2.243E+002, 2.628E+002, 6.417E+001, 6.391E+001, 6.397E+001, 6.440E+001, 6.521E+001, 6.579E+001, 6.697E+001, 6.149E+001, 6.063E+001, 5.764E+001, 5.633E+001, 8.158E+001, 7.458E+001, 6.451E+001, 5.547E+001, 8.257E+001, 8.431E+001, 6.325E+001, 5.355E+001, 5.825E+001, 7.771E+001, 9.994E+001, 7.315E+001, 5.795E+001, 5.935E+001, 5.676E+001, 6.434E+001, 7.129E+001, 6.532E+001, 7.500E+001, 9.120E+001, 7.082E+001, 8.912E+001, 9.406E+001, 7.180E+001, 9.356E+001, 1.213E+002, 9.294E+001, 8.392E+001, 6.218E+001, 5.229E+001, 6.787E+001, 7.618E+001, 1.010E+002, 8.305E+001, 7.227E+001, 5.965E+001, 5.280E+001, 6.150E+001, 7.468E+001, 7.519E+001, 6.062E+001, 5.916E+001, 5.575E+001, 4.491E+001, 2.078E-001, 3.868E-004, 5.775E-012, 1.952E-001, 4.798E-003, 1.385E-005, 4.000E+000
 2.500E+002, 4.407E+001, 3.326E+001, 2.263E+001, 2.032E+001, 2.013E+001, 2.018E+001, 2.021E+001, 2.027E+001, 2.023E+001, 2.135E+001, 4.202E+001, 5.131E+001, 3.790E+001, 2.260E+001, 2.049E+001, 2.007E+001, 1.965E+001, 1.961E+001, 1.923E+001, 1.917E+001, 2.127E+001, 4.007E+001, 4.493E+001, 3.093E+001, 2.051E+001, 1.977E+001, 1.927E+001, 1.900E+001, 1.891E+001, 1.888E+001, 1.889E+001, 4.607E+001, 1.838E+002, 1.731E+002, 1.689E+002, 1.704E+002, 1.844E+002, 2.079E+002, 2.389E+002, 2.588E+002, 3.023E+002, 3.530E+002, 6.083E+001, 6.044E+001, 6.154E+001, 6.283E+001, 6.517E+001, 6.606E+001, 6.725E+001, 5.883E+001, 6.301E+001, 5.541E+001, 5.420E+001, 7.807E+001, 7.814E+001, 6.835E+001, 6.125E+001, 8.674E+001, 9.201E+001, 6.995E+001, 5.702E+001, 5.667E+001, 7.698E+001, 1.114E+002, 8.124E+001, 6.277E+001, 5.602E+001, 6.211E+001, 6.154E+001, 5.996E+001, 6.747E+001, 7.791E+001, 7.803E+001, 6.357E+001, 8.998E+001, 9.483E+001, 7.045E+001, 9.487E+001, 1.233E+002, 1.018E+002, 9.332E+001, 7.192E+001, 5.305E+001, 6.595E+001, 7.860E+001, 9.469E+001, 8.766E+001, 7.594E+001, 6.052E+001, 4.954E+001, 6.031E+001, 7.142E+001, 7.301E+001, 6.449E+001, 5.701E+001, 5.409E+001, 4.804E+001, 2.077E-001, 3.874E-004, 2.417E-009, 1.934E-001, 5.510E-003, 1.608E-005, 4.000E+000
 2.600E+002, 4.638E+001, 3.572E+001, 2.220E+001, 2.018E+001, 1.999E+001, 1.996E+001, 1.994E+001, 1.995E+001, 1.995E+001, 2.155E+001, 4.331E+001, 5.550E+001, 4.217E+001, 2.280E+001, 1.997E+001, 1.962E+001, 1.940E+001, 1.940E+001, 1.928E+001, 1.920E+001, 2.146E+001, 3.988E+001, 4.553E+001, 3.566E+001, 2.123E+001, 1.967E+001, 1.921E+001, 1.893E+001, 1.889E+001, 1.891E+001, 1.898E+001, 4.699E+001, 1.881E+002, 1.890E+002, 1.791E+002, 1.698E+002, 1.727E+002, 1.839E+002, 1.994E+002, 2.090E+002, 2.314E+002, 2.651E+002, 6.500E+001, 6.413E+001, 6.386E+001, 6.444E+001, 6.471E+001, 6.556E+001, 6.626E+001, 6.124E+001, 5.981E+001, 5.952E+001, 5.686E+001, 7.631E+001, 7.685E+001, 6.972E+001, 5.816E+001, 9.092E+001, 9.652E+001, 7.377E+001, 6.090E+001, 5.755E+001, 7.751E+001, 1.174E+002, 8.463E+001, 6.608E+001, 6.064E+001, 6.186E+001, 5.797E+001, 6.021E+001, 6.999E+001, 7.771E+001, 7.772E+001, 6.629E+001, 9.373E+001, 9.534E+001, 6.851E+001, 9.499E+001, 1.078E+002, 1.086E+002, 9.947E+001, 7.051E+001, 5.614E+001, 6.789E+001, 7.455E+001, 9.380E+001, 8.827E+001, 7.280E+001, 6.529E+001, 4.871E+001, 5.375E+001, 5.991E+001, 7.268E+001, 6.979E+001, 5.865E+001, 5.263E+001, 5.284E+001, 2.072E-001, 3.930E-004, 2.278E-008, 1.951E-001, 4.948E-003, 1.432E-005, 4.000E+000
 2.700E+002, 5.616E+001, 3.914E+001, 2.204E+001, 2.027E+001, 2.012E+001, 1.997E+001, 1.993E+001, 1.992E+001, 2.001E+001, 2.174E+001, 4.472E+001, 5.641E+001, 4.343E+001, 2.233E+001, 1.974E+001, 1.957E+001, 1.942E+001, 1.935E+001, 1.922E+001, 1.921E+001, 2.164E+001, 4.163E+001, 5.045E+001, 3.862E+001, 2.171E+001, 1.968E+001, 1.914E+001, 1.905E+001, 1.901E+001, 1.907E+001, 1.912E+001, 4.785E+001, 1.859E+002, 1.735E+002, 1.625E+002, 1.598E+002, 1.718E+002, 1.894E+002, 2.195E+002, 2.376E+002, 2.790E+002, 3.277E+002, 7.087E+001, 7.003E+001, 6.959E+001, 7.031E+001, 7.096E+001, 7.167E+001, 7.356E+001, 7.168E+001, 6.677E+001, 6.470E+001, 5.873E+001, 9.476E+001, 8.734E+001, 7.367E+001, 5.621E+001, 1.001E+002, 1.025E+002, 8.151E+001, 5.926E+001, 6.637E+001, 8.755E+001, 1.235E+002, 9.050E+001, 6.948E+001, 6.425E+001, 5.699E+001, 6.022E+001, 6.383E+001, 6.628E+001, 7.431E+001, 8.519E+001, 6.662E+001, 8.696E+001, 1.065E+002, 5.890E+001, 8.339E+001, 1.095E+002, 9.438E+001, 8.566E+001, 6.538E+001, 5.588E+001, 6.447E+001, 8.454E+001, 9.733E+001, 8.996E+001, 6.655E+001, 5.380E+001, 4.690E+001, 5.816E+001, 6.224E+001, 7.627E+001, 7.380E+001, 5.363E+001, 4.614E+001, 4.257E+001, 2.078E-001, 3.873E-004, 1.553E-009, 1.918E-001, 6.132E-003, 1.803E-005, 4.000E+000
 2.800E+002, 5.329E+001, 3.990E+001, 2.315E+001, 2.043E+001, 2.032E+001, 2.020E+001, 2.013E+001, 2.010E+001, 2.010E+001, 2.193E+001, 4.481E+001, 5.590E+001, 4.453E+001, 2.372E+001, 1.965E+001, 1.946E+001, 1.933E+001, 1.927E+001, 1.923E+001, 1.928E+001, 2.181E+001, 4.269E+001, 5.321E+001, 4.135E+001, 2.400E+001, 2.013E+001, 1.923E+001, 1.911E+001, 1.909E+001, 1.907E+001, 1.910E+001, 4.864E+001, 1.771E+002, 1.686E+002, 1.637E+002, 1.655E+002, 1.837E+002, 2.107E+002, 2.465E+002, 2.667E+002, 3.126E+002, 3.657E+002, 7.150E+001, 7.116E+001, 7.154E+001, 7.228E+001, 7.338E+001, 7.418E+001, 7.662E+001, 7.313E+001, 7.166E+001, 6.550E+001, 6.043E+001, 9.494E+001, 8.244E+001, 7.133E+001, 5.867E+001, 9.618E+001, 9.097E+001, 7.029E+001, 5.623E+001, 7.360E+001, 9.231E+001, 1.013E+002, 7.789E+001, 6.362E+001, 6.611E+001, 5.707E+001, 6.233E+001, 6.454E+001, 6.134E+001, 7.023E+001, 8.540E+001, 7.066E+001, 8.141E+001, 9.830E+001, 6.578E+001, 9.017E+001, 9.847E+001, 8.550E+001, 8.597E+001, 6.384E+001, 4.992E+001, 6.068E+001, 7.854E+001, 8.146E+001, 7.855E+001, 6.779E+001, 5.642E+001, 4.794E+001, 6.183E+001, 6.341E+001, 6.635E+001, 6.207E+001, 5.546E+001, 4.548E+001, 4.409E+001, 2.074E-001, 3.894E-004, 1.043E-008, 1.923E-001, 5.715E-003, 1.673E-005, 4.000E+000
 2.900E+002, 5.047E+001, 4.001E+001, 2.379E+001, 2.081E+001, 2.057E+001, 2.031E+001, 2.021E+001, 2.020E+001, 2.012E+001, 2.211E+001, 4.449E+001, 5.424E+001, 4.410E+001, 2.546E+001, 1.973E+001, 1.945E+001, 1.936E+001, 1.928E+001, 1.925E+001, 1.923E+001, 2.198E+001, 4.320E+001, 5.494E+001, 4.289E+001, 2.529E+001, 2.083E+001, 1.981E+001, 1.917E+001, 1.913E+001, 1.907E+001, 1.903E+001, 4.939E+001, 1.890E+002, 1.953E+002, 1.876E+002, 1.929E+002, 2.082E+002, 2.348E+002, 2.650E+002, 2.796E+002, 3.119E+002, 3.494E+002, 6.796E+001, 6.815E+001, 6.979E+001, 7.074E+001, 7.215E+001, 7.212E+001, 7.285E+001, 6.496E+001, 7.130E+001, 6.207E+001, 5.760E+001, 9.012E+001, 8.275E+001, 7.067E+001, 6.213E+001, 9.912E+001, 9.113E+001, 6.971E+001, 5.568E+001, 6.782E+001, 8.862E+001, 1.113E+002, 7.824E+001, 6.117E+001, 6.392E+001, 5.390E+001, 6.055E+001, 6.444E+001, 6.278E+001, 6.824E+001, 8.222E+001, 6.706E+001, 8.836E+001, 1.020E+002, 7.457E+001, 1.000E+002, 1.202E+002, 1.011E+002, 8.427E+001, 5.542E+001, 4.586E+001, 6.791E+001, 8.639E+001, 9.201E+001, 9.589E+001, 7.648E+001, 5.740E+001, 4.499E+001, 5.956E+001, 6.712E+001, 7.658E+001, 6.711E+001, 6.419E+001, 5.756E+001, 4.764E+001, 2.074E-001, 3.883E-004, 6.823E-009, 1.935E-001, 5.487E-003, 1.601E-005, 4.000E+000
 3.000E+002, 5.576E+001, 4.366E+001, 2.334E+001, 2.093E+001, 2.049E+001, 2.028E+001, 2.021E+001, 2.018E+001, 2.015E+001, 2.229E+001, 4.556E+001, 5.802E+001, 4.591E+001, 2.767E+001, 1.998E+001, 1.955E+001, 1.940E+001, 1.936E+001, 1.934E+001, 1.935E+001, 2.215E+001, 4.372E+001, 5.333E+001, 4.053E+001, 2.334E+001, 2.109E+001, 2.055E+001, 1.971E+001, 1.952E+001, 1.929E+001, 1.918E+001, 5.009E+001, 1.774E+002, 1.736E+002, 1.712E+002, 1.766E+002, 1.907E+002, 2.101E+002, 2.345E+002, 2.486E+002, 2.764E+002, 3.174E+002, 6.641E+001, 6.701E+001, 6.887E+001, 6.954E+001, 7.120E+001, 7.186E+001, 7.435E+001, 6.619E+001, 6.762E+001, 6.389E+001, 5.889E+001, 9.025E+001, 8.274E+001, 7.217E+001, 6.477E+001, 1.013E+002, 9.665E+001, 7.371E+001, 5.739E+001, 6.802E+001, 8.804E+001, 1.087E+002, 8.120E+001, 6.498E+001, 6.120E+001, 5.506E+001, 6.425E+001, 6.507E+001, 6.466E+001, 7.096E+001, 8.598E+001, 6.562E+001, 8.527E+001, 9.394E+001, 6.498E+001, 9.230E+001, 1.098E+002, 8.645E+001, 8.480E+001, 6.041E+001, 4.398E+001, 7.044E+001, 8.559E+001, 8.690E+001, 8.372E+001, 6.337E+001, 5.930E+001, 4.158E+001, 6.096E+001, 6.790E+001, 7.183E+001, 6.795E+001, 6.047E+001, 5.085E+001, 4.527E+001, 2.075E-001, 3.880E-004, 5.302E-009, 1.929E-001, 5.792E-003, 1.697E-005, 4.000E+000
 3.100E+002, 4.973E+001, 3.982E+001, 2.245E+001, 2.093E+001, 2.077E+001, 2.052E+001, 2.047E+001, 2.039E+001, 2.037E+001, 2.248E+001, 4.610E+001, 5.468E+001, 4.364E+001, 2.587E+001, 2.002E+001, 1.966E+001, 1.947E+001, 1.940E+001, 1.940E+001, 1.952E+001, 2.231E+001, 4.422E+001, 4.887E+001, 3.581E+001, 2.172E+001, 2.055E+001, 2.021E+001, 1.981E+001, 1.970E+001, 1.964E+001, 1.939E+001, 5.074E+001, 1.675E+002, 1.539E+002, 1.406E+002, 1.292E+002, 1.278E+002, 1.335E+002, 1.471E+002, 1.562E+002, 1.770E+002, 1.996E+002, 6.971E+001, 6.856E+001, 6.964E+001, 7.039E+001, 7.113E+001, 7.166E+001, 7.322E+001, 7.091E+001, 6.872E+001, 6.249E+001, 5.955E+001, 9.301E+001, 8.217E+001, 6.805E+001, 6.034E+001, 1.003E+002, 9.661E+001, 7.616E+001, 6.059E+001, 6.740E+001, 8.967E+001, 1.090E+002, 8.497E+001, 6.789E+001, 6.354E+001, 5.252E+001, 5.799E+001, 6.112E+001, 6.089E+001, 6.402E+001, 8.488E+001, 6.792E+001, 8.261E+001, 9.212E+001, 6.394E+001, 8.551E+001, 9.713E+001, 7.856E+001, 9.081E+001, 6.705E+001, 5.463E+001, 6.717E+001, 7.961E+001, 8.272E+001, 7.562E+001, 6.777E+001, 6.038E+001, 4.608E+001, 5.692E+001, 6.530E+001, 6.775E+001, 6.310E+001, 5.820E+001, 5.104E+001, 4.847E+001, 2.076E-001, 3.871E-004, 1.609E-009, 1.942E-001, 5.377E-003, 1.566E-005, 4.000E+000
 3.200E+002, 4.959E+001, 3.844E+001, 2.400E+001, 2.114E+001, 2.093E+001, 2.067E+001, 2.055E+001, 2.045E+001, 2.041E+001, 2.266E+001, 4.552E+001, 5.296E+001, 4.377E+001, 2.669E+001, 2.011E+001, 1.979E+001, 1.949E+001, 1.942E+001, 1.942E+001, 1.948E+001, 2.247E+001, 4.453E+001, 5.030E+001, 3.745E+001, 2.186E+001, 2.044E+001, 2.009E+001, 1.985E+001, 1.983E+001, 1.988E+001, 1.968E+001, 5.136E+001, 1.791E+002, 1.699E+002, 1.502E+002, 1.295E+002, 1.265E+002, 1.296E+002, 1.419E+002, 1.491E+002, 1.658E+002, 1.864E+002, 6.713E+001, 6.611E+001, 6.630E+001, 6.687E+001, 6.717E+001, 6.809E+001, 7.047E+001, 6.511E+001, 6.957E+001, 6.107E+001, 5.697E+001, 8.966E+001, 7.898E+001, 6.785E+001, 5.777E+001, 1.070E+002, 9.571E+001, 7.589E+001, 5.814E+001, 6.529E+001, 8.553E+001, 1.216E+002, 8.681E+001, 6.536E+001, 5.951E+001, 5.558E+001, 5.352E+001, 5.260E+001, 5.970E+001, 7.150E+001, 8.072E+001, 6.630E+001, 8.526E+001, 9.162E+001, 6.873E+001, 8.840E+001, 1.038E+002, 9.220E+001, 9.481E+001, 7.394E+001, 5.894E+001, 6.389E+001, 8.150E+001, 8.640E+001, 8.280E+001, 7.098E+001, 6.802E+001, 5.402E+001, 5.510E+001, 6.297E+001, 6.690E+001, 6.256E+001, 5.761E+001, 5.460E+001, 5.386E+001, 2.078E-001, 3.868E-004, 2.268E-012, 1.945E-001, 5.212E-003, 1.514E-005, 5.000E+000
 3.300E+002, 4.432E+001, 3.383E+001, 2.210E+001, 2.083E+001, 2.067E+001, 2.036E+001, 2.025E+001, 2.015E+001, 2.008E+001, 2.284E+001, 4.386E+001, 5.097E+001, 4.093E+001, 2.519E+001, 1.982E+001, 1.954E+001, 1.931E+001, 1.925E+001, 1.924E+001, 1.927E+001, 2.263E+001, 4.379E+001, 4.993E+001, 3.525E+001, 2.141E+001, 2.049E+001, 2.025E+001, 2.008E+001, 1.990E+001, 1.966E+001, 1.935E+001, 5.193E+001, 1.729E+002, 1.575E+002, 1.433E+002, 1.343E+002, 1.374E+002, 1.487E+002, 1.643E+002, 1.746E+002, 1.982E+002, 2.291E+002, 6.341E+001, 6.313E+001, 6.478E+001, 6.587E+001, 6.779E+001, 6.928E+001, 7.191E+001, 6.583E+001, 6.594E+001, 5.922E+001, 5.593E+001, 9.655E+001, 8.148E+001, 6.493E+001, 5.534E+001, 1.011E+002, 6.701E+001, 7.124E+001, 5.639E+001, 6.641E+001, 8.895E+001, 9.911E+001, 7.574E+001, 6.377E+001, 5.876E+001, 5.934E+001, 6.421E+001, 6.611E+001, 6.343E+001, 7.843E+001, 8.885E+001, 6.970E+001, 9.519E+001, 1.107E+002, 7.176E+001, 8.675E+001, 1.021E+002, 8.463E+001, 8.520E+001, 6.738E+001, 5.551E+001, 5.982E+001, 7.841E+001, 8.485E+001, 8.365E+001, 7.240E+001, 6.322E+001, 5.400E+001, 5.561E+001, 6.463E+001, 6.428E+001, 6.229E+001, 5.694E+001, 5.252E+001, 4.944E+001, 2.068E-001, 3.871E-004, 6.436E-009, 1.973E-001, 4.099E-003, 1.165E-005, 5.000E+000
 3.400E+002, 4.188E+001, 3.277E+001, 2.184E+001, 2.058E+001, 2.039E+001, 2.013E+001, 2.005E+001, 1.980E+001, 1.971E+001, 2.301E+001, 4.225E+001, 4.951E+001, 4.069E+001, 2.300E+001, 1.949E+001, 1.929E+001, 1.915E+001, 1.907E+001, 1.903E+001, 1.902E+001, 2.279E+001, 4.077E+001, 3.993E+001, 3.173E+001, 2.087E+001, 2.006E+001, 1.960E+001, 1.926E+001, 1.908E+001, 1.896E+001, 1.889E+001, 5.245E+001, 1.561E+002, 1.287E+002, 1.136E+002, 9.867E+001, 9.464E+001, 9.767E+001, 1.039E+002, 1.100E+002, 1.294E+002, 1.566E+002, 5.868E+001, 5.850E+001, 5.947E+001, 5.948E+001, 6.050E+001, 6.106E+001, 6.310E+001, 5.533E+001, 5.157E+001, 5.414E+001, 5.181E+001, 7.787E+001, 6.778E+001, 5.806E+001, 5.270E+001, 7.627E+001, 4.893E+001, 6.156E+001, 4.627E+001, 5.596E+001, 7.472E+001, 8.343E+001, 6.093E+001, 5.582E+001, 5.461E+001, 6.172E+001, 6.393E+001, 6.583E+001, 7.722E+001, 8.428E+001, 8.065E+001, 7.613E+001, 1.086E+002, 1.052E+002, 7.150E+001, 9.491E+001, 1.003E+002, 7.737E+001, 7.515E+001, 5.792E+001, 5.330E+001, 6.443E+001, 7.461E+001, 8.562E+001, 8.558E+001, 7.272E+001, 6.099E+001, 5.019E+001, 5.696E+001, 6.315E+001, 6.942E+001, 6.491E+001, 6.082E+001, 5.583E+001, 4.813E+001, 2.059E-001, 4.882E-004, 3.276E-007, 1.987E-001, 3.471E-003, 9.684E-006, 5.000E+000
 3.500E+002, 4.354E+001, 3.312E+001, 2.175E+001, 2.045E+001, 2.015E+001, 2.001E+001, 1.999E+001, 2.000E+001, 2.012E+001, 2.319E+001, 4.140E+001, 4.746E+001, 3.834E+001, 2.311E+001, 1.939E+001, 1.912E+001, 1.899E+001, 1.894E+001, 1.886E+001, 1.885E+001, 2.295E+001, 4.096E+001, 4.302E+001, 3.222E+001, 2.003E+001, 1.949E+001, 1.907E+001, 1.884E+001, 1.881E+001, 1.885E+001, 1.889E+001, 5.292E+001, 1.506E+002, 1.297E+002, 1.212E+002, 1.168E+002, 1.220E+002, 1.328E+002, 1.474E+002, 1.577E+002, 1.835E+002, 2.169E+002, 5.916E+001, 5.792E+001, 5.800E+001, 5.840E+001, 5.938E+001, 6.050E+001, 6.237E+001, 6.296E+001, 5.656E+001, 5.189E+001, 5.046E+001, 7.956E+001, 7.146E+001, 5.588E+001, 4.391E+001, 7.763E+001, 4.573E+001, 5.669E+001, 4.429E+001, 6.059E+001, 7.830E+001, 8.467E+001, 5.839E+001, 5.197E+001, 5.490E+001, 6.363E+001, 6.836E+001, 6.750E+001, 6.591E+001, 7.959E+001, 8.947E+001, 5.609E+001, 8.484E+001, 9.843E+001, 5.507E+001, 8.063E+001, 1.008E+002, 7.418E+001, 6.855E+001, 5.265E+001, 4.836E+001, 5.546E+001, 7.151E+001, 9.076E+001, 8.599E+001, 7.168E+001, 5.562E+001, 4.916E+001, 5.492E+001, 6.225E+001, 7.185E+001, 7.157E+001, 6.107E+001, 5.515E+001, 4.718E+001, 2.054E-001, 6.507E-004, 8.377E-007, 1.949E-001, 4.936E-003, 1.428E-005, 5.000E+000
 3.600E+002, 4.855E+001, 3.535E+001, 2.214E+001, 2.072E+001, 2.030E+001, 1.990E+001, 1.989E+001, 1.981E+001, 1.975E+001, 2.335E+001, 4.129E+001, 4.516E+001, 3.433E+001, 2.238E+001, 1.921E+001, 1.890E+001, 1.882E+001, 1.882E+001, 1.883E+001, 1.895E+001, 2.310E+001, 4.206E+001, 4.916E+001, 3.682E+001, 2.113E+001, 1.959E+001, 1.915E+001, 1.884E+001, 1.879E+001, 1.880E+001, 1.882E+001, 5.335E+001, 1.639E+002, 1.518E+002, 1.425E+002, 1.339E+002, 1.418E+002, 1.553E+002, 1.735E+002, 1.843E+002, 2.106E+002, 2.400E+002, 6.270E+001, 6.233E+001, 6.356E+001, 6.448E+001, 6.578E+001, 6.672E+001, 6.732E+001, 6.935E+001, 6.472E+001, 5.790E+001, 5.172E+001, 9.016E+001, 7.548E+001, 6.054E+001, 4.709E+001, 8.413E+001, 4.838E+001, 5.656E+001, 5.042E+001, 7.146E+001, 8.356E+001, 8.942E+001, 5.982E+001, 5.385E+001, 5.746E+001, 5.666E+001, 6.439E+001, 6.704E+001, 5.983E+001, 7.432E+001, 8.923E+001, 6.281E+001, 8.915E+001, 1.038E+002, 6.621E+001, 9.355E+001, 1.093E+002, 8.229E+001, 7.325E+001, 5.853E+001, 5.222E+001, 6.486E+001, 8.740E+001, 8.600E+001, 8.425E+001, 7.379E+001, 5.832E+001, 5.284E+001, 6.248E+001, 6.524E+001, 7.008E+001, 6.266E+001, 5.735E+001, 5.760E+001, 5.096E+001, 2.058E-001, 6.553E-004, 8.503E-007, 1.936E-001, 5.599E-003, 1.636E-005, 5.000E+000
 3.700E+002, 5.294E+001, 3.932E+001, 2.372E+001, 2.147E+001, 2.047E+001, 1.982E+001, 1.980E+001, 1.977E+001, 1.974E+001, 2.351E+001, 4.262E+001, 4.992E+001, 3.685E+001, 2.360E+001, 1.994E+001, 1.903E+001, 1.894E+001, 1.897E+001, 1.903E+001, 1.908E+001, 2.325E+001, 4.476E+001, 5.705E+001, 4.419E+001, 2.514E+001, 2.034E+001, 1.977E+001, 1.910E+001, 1.896E+001, 1.885E+001, 1.888E+001, 5.372E+001, 1.733E+002, 1.699E+002, 1.586E+002, 1.553E+002, 1.630E+002, 1.751E+002, 1.956E+002, 2.065E+002, 2.362E+002, 2.741E+002, 6.850E+001, 6.847E+001, 7.101E+001, 7.239E+001, 7.474E+001, 7.603E+001, 7.750E+001, 7.227E+001, 7.707E+001, 6.366E+001, 5.619E+001, 9.752E+001, 8.694E+001, 6.779E+001, 5.801E+001, 1.065E+002, 6.031E+001, 6.244E+001, 5.275E+001, 7.280E+001, 9.313E+001, 1.032E+002, 6.756E+001, 5.623E+001, 6.040E+001, 5.558E+001, 6.176E+001, 6.111E+001, 6.108E+001, 7.606E+001, 9.322E+001, 6.536E+001, 8.397E+001, 1.118E+002, 6.791E+001, 9.530E+001, 1.064E+002, 8.389E+001, 7.793E+001, 6.160E+001, 5.262E+001, 6.922E+001, 8.667E+001, 8.957E+001, 8.140E+001, 7.576E+001, 5.809E+001, 5.203E+001, 6.149E+001, 7.032E+001, 6.657E+001, 5.710E+001, 6.230E+001, 5.890E+001, 4.968E+001, 2.058E-001, 5.957E-004, 6.639E-007, 1.937E-001, 5.560E-003, 1.623E-005, 5.000E+000
 3.800E+002, 4.778E+001, 3.612E+001, 2.385E+001, 2.120E+001, 2.034E+001, 2.011E+001, 2.007E+001, 2.003E+001, 2.010E+001, 2.366E+001, 4.308E+001, 5.101E+001, 3.829E+001, 2.556E+001, 2.008E+001, 1.920E+001, 1.916E+001, 1.920E+001, 1.919E+001, 1.914E+001, 2.339E+001, 4.581E+001, 5.629E+001, 4.259E+001, 2.622E+001, 2.087E+001, 1.978E+001, 1.935E+001, 1.933E+001, 1.899E+001, 1.894E+001, 5.402E+001, 1.520E+002, 1.246E+002, 1.089E+002, 9.243E+001, 9.075E+001, 9.409E+001, 1.051E+002, 1.118E+002, 1.330E+002, 1.574E+002, 6.741E+001, 6.743E+001, 6.907E+001, 6.978E+001, 7.094E+001, 7.186E+001, 7.503E+001, 6.853E+001, 6.912E+001, 6.135E+001, 5.668E+001, 1.033E+002, 8.639E+001, 6.760E+001, 5.725E+001, 9.940E+001, 5.915E+001, 6.589E+001, 5.803E+001, 6.442E+001, 9.857E+001, 9.877E+001, 6.646E+001, 6.201E+001, 6.135E+001, 5.618E+001, 6.802E+001, 6.719E+001, 6.309E+001, 7.727E+001, 1.009E+002, 6.055E+001, 7.825E+001, 1.072E+002, 6.223E+001, 8.202E+001, 8.785E+001, 7.000E+001, 7.748E+001, 6.405E+001, 5.059E+001, 6.586E+001, 7.574E+001, 7.877E+001, 7.676E+001, 6.950E+001, 6.074E+001, 5.246E+001, 5.768E+001, 6.215E+001, 6.383E+001, 6.022E+001, 6.156E+001, 5.330E+001, 4.953E+001, 2.063E-001, 4.967E-004, 3.520E-007, 1.954E-001, 4.562E-003, 1.311E-005, 5.000E+000
